name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<chico_sbs_trees::temperate_conifer::TemperateConifer>>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,105375,0.000360,1,105375,105375,105375,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_groves::strange_oasis::vc::StrangeOasis, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,105291,0.000359,1,105291,105291,105291,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_sbs_trees::rorys_head_trained::RorysHeadTrained>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,104750,0.000358,1,104750,104750,104750,0.000000
plugin build{plugin="lod_avian::AvianLodSceneCullPlugin<chico_vegetation_components::foliage::node::FoliageNode, chico_sbs_trees_playground::vegetation_lod::VegetationCull, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,104584,0.000357,1,104584,104584,104584,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_groves::conifer_sapling::vc::ConiferSapling, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,103791,0.000354,1,103791,103791,103791,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<chico_sbs_trees::northern_conifer::NorthernConifer>>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,103584,0.000354,1,103584,103584,103584,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<chico_sbs_trees::kamakura_torch::KamakuraTorch>>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,103125,0.000352,1,103125,103125,103125,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<chico_sbs_trees::jungle_storybook_tree::JungleStorybookTree>>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,102875,0.000351,1,102875,102875,102875,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_groves::storytellers::vc::Storytellers, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,102625,0.000350,1,102625,102625,102625,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_groves::tropical_thicket::vc::TropicalThicket, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,102458,0.000350,1,102458,102458,102458,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_sbs_trees::high_bush_shoots::HighBushShoots>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,101917,0.000348,1,101917,101917,101917,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_sbs_trees::honu_banyan::HonuBanyan>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,101542,0.000347,1,101542,101542,101542,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<chico_sbs_trees::honu_banyan::HonuBanyan>>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,101208,0.000345,1,101208,101208,101208,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_sbs_trees::palm_bush::PalmBush>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,101125,0.000345,1,101125,101125,101125,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::foliage::node::FoliageNode, chico_sbs_trees_playground::vegetation_lod::VegetationSpotlight, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,100625,0.000343,1,100625,100625,100625,0.000000
plugin build{plugin="lod_avian::AvianLodSceneRefreshPlugin<chico_vegetation_components::ComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<chico_sbs_trees::tuft_patch::TuftPatch>>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,100625,0.000343,1,100625,100625,100625,0.000000
